"KrillID","SensorName","Date","Time","User","SensorID","delta_t","Unit","Value","Unit.1","Mode","Phase","Unit.2","Amplitude","Unit.3","Temp","Unit.4","patm","Unit.5","Salinity","Unit.6","Error","Cal0","Unit.7","T0","Unit.8","O2.2nd","Unit.9","Cal2nd","Unit.10","T2nd","Unit.11","CalPressure","Unit.12","f1","dPhi1","dkSv1","dPhi2","dkSv2","m","Cal.Mode","SignalLEDCurrent","ReferenceLEDCurrent","ReferenceAmplitude","DeviceSerial","FwVersion","SensorType","BatchID","Calibration.Date","Sensor.lot","PreSens.calibrated.Sensor","Battery.Voltage","Unit.13","Sequence","FileName","MOATS","Treatment","LoadingLocation","GlassVialNumber","Species","TelsonLength..mm.","Size","dateTime","TrialID.x","percentDOassumpt","assumedSatDOmg","percentDO","obseveredSatDOmg","actualDOmg","CorTemp","SalinityConstant","oxygen","sapply(cSlopes, I)","TrialID.y"
"Trial01_KrilLR11","KrilLR11","28-Oct-19",2019-10-28 15:49:16,"default              ",159906405,84.25,"min",8.061,"mg/l","humid",29.911,"deg",16205,"uV",11,"∞C",1013,"mbar",30.3,"pmil",0,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38423,"SAAA0005000123","     p1.4.0.6 ","PSt3","191028-0",191028,194400,1,6.126,"V",1,"2019.10.28_RESPR_T1","12","CUR","A1",1,"Euphausia pacifica","2.61","0.0303",2019-10-28 15:49:16,"Trial01",0.885857794665409,9.09965464947414,0.885857794665409,9.09965464947414,8.061,11,30.3,226.19166,-0.374460002176945,"Trial01_KrilLR11"
"Trial01_KrilLR11","KrilLR11","28-Oct-19",2019-10-28 15:49:17,"default              ",159906405,84.27,"min",8.061,"mg/l","humid",29.91,"deg",17009,"uV",11,"∞C",1013,"mbar",30.3,"pmil",0,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38397,"SAAA0005000123","     p1.4.0.6 ","PSt3","191028-0",191028,194400,1,6.113,"V",1,"2019.10.28_RESPR_T1","12","CUR","A1",1,"Euphausia pacifica","2.61","0.0303",2019-10-28 15:49:17,"Trial01",0.885857794665409,9.09965464947414,0.885857794665409,9.09965464947414,8.061,11,30.3,226.19166,-0.374460002176945,"Trial01_KrilLR11"
"Trial01_KrilLR11","KrilLR11","28-Oct-19",2019-10-28 15:49:18,"default              ",159906405,84.28,"min",8.112,"mg/l","humid",29.84,"deg",13495,"uV",11,"∞C",1013,"mbar",30.3,"pmil",0,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38390,"SAAA0005000123","     p1.4.0.6 ","PSt3","191028-0",191028,194400,1,6.108,"V",1,"2019.10.28_RESPR_T1","12","CUR","A1",1,"Euphausia pacifica","2.61","0.0303",2019-10-28 15:49:18,"Trial01",0.891462402968093,9.09965464947414,0.891462402968093,9.09965464947414,8.112,11,30.3,227.62272,-0.374460002176945,"Trial01_KrilLR11"
"Trial01_KrilLR11","KrilLR11","28-Oct-19",2019-10-28 15:49:19,"default              ",159906405,84.3,"min",8.051,"mg/l","humid",29.924,"deg",19867,"uV",11,"∞C",1013,"mbar",30.3,"pmil",0,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38385,"SAAA0005000123","     p1.4.0.6 ","PSt3","191028-0",191028,194400,1,6.112,"V",1,"2019.10.28_RESPR_T1","12","CUR","A1",1,"Euphausia pacifica","2.61","0.0303",2019-10-28 15:49:19,"Trial01",0.884758851860961,9.09965464947414,0.884758851860961,9.09965464947414,8.051,11,30.3,225.91106,-0.374460002176945,"Trial01_KrilLR11"
"Trial01_KrilLR11","KrilLR11","28-Oct-19",2019-10-28 14:34:04,"default              ",159906405,9.05,"min",10.047,"mg/l","humid",27.508,"deg",2071,"uV",11,"∞C",1013,"mbar",30.3,"pmil",4,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38681,"SAAA0005000123","     p1.4.0.6 ","PSt3","191028-0",191028,194400,1,6.134,"V",1,"2019.10.28_RESPR_T1","12","CUR","A1",1,"Euphausia pacifica","2.61","0.0303",2019-10-28 14:34:04,"Trial01",1.10410783562875,9.09965464947414,1.10410783562875,9.09965464947414,10.047,11,30.3,281.91882,-0.374460002176945,"Trial01_KrilLR11"
"Trial01_KrilLR11","KrilLR11","28-Oct-19",2019-10-28 14:34:05,"default              ",159906405,9.07,"min",8.856,"mg/l","humid",28.871,"deg",7079,"uV",11,"∞C",1013,"mbar",30.3,"pmil",0,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38658,"SAAA0005000123","     p1.4.0.6 ","PSt3","191028-0",191028,194400,1,6.125,"V",1,"2019.10.28_RESPR_T1","12","CUR","A1",1,"Euphausia pacifica","2.61","0.0303",2019-10-28 14:34:05,"Trial01",0.973223747619013,9.09965464947414,0.973223747619013,9.09965464947414,8.856,11,30.3,248.49936,-0.374460002176945,"Trial01_KrilLR11"
"Trial01_KrilLR11","KrilLR11","28-Oct-19",2019-10-28 16:19:08,"default              ",159906405,114.12,"min",7.679,"mg/l","humid",30.454,"deg",14813,"uV",11,"∞C",1013,"mbar",30.3,"pmil",0,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38256,"SAAA0005000123","     p1.4.0.6 ","PSt3","191028-0",191028,194400,1,6.11,"V",1,"2019.10.28_RESPR_T1","12","CUR","A1",1,"Euphausia pacifica","2.61","0.0303",2019-10-28 16:19:08,"Trial01",0.843878179535501,9.09965464947414,0.843878179535501,9.09965464947414,7.679,11,30.3,215.47274,-0.374460002176945,"Trial01_KrilLR11"
"Trial01_KrilLR11","KrilLR11","28-Oct-19",2019-10-28 16:04:38,"default              ",159906405,99.62,"min",7.833,"mg/l","humid",30.231,"deg",11189,"uV",11,"∞C",1013,"mbar",30.3,"pmil",0,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38242,"SAAA0005000123","     p1.4.0.6 ","PSt3","191028-0",191028,194400,1,6.107,"V",1,"2019.10.28_RESPR_T1","12","CUR","A1",1,"Euphausia pacifica","2.61","0.0303",2019-10-28 16:04:38,"Trial01",0.860801898723998,9.09965464947414,0.860801898723998,9.09965464947414,7.833,11,30.3,219.79398,-0.374460002176945,"Trial01_KrilLR11"
"Trial01_KrilLR11","KrilLR11","28-Oct-19",2019-10-28 14:49:11,"default              ",159906405,24.17,"min",8.778,"mg/l","humid",28.967,"deg",7806,"uV",11,"∞C",1013,"mbar",30.3,"pmil",0,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38609,"SAAA0005000123","     p1.4.0.6 ","PSt3","191028-0",191028,194400,1,6.126,"V",1,"2019.10.28_RESPR_T1","12","CUR","A1",1,"Euphausia pacifica","2.61","0.0303",2019-10-28 14:49:11,"Trial01",0.96465199374432,9.09965464947414,0.96465199374432,9.09965464947414,8.778,11,30.3,246.31068,-0.374460002176945,"Trial01_KrilLR11"
"Trial01_KrilLR11","KrilLR11","28-Oct-19",2019-10-28 14:49:12,"default              ",159906405,24.18,"min",8.706,"mg/l","humid",29.058,"deg",9476,"uV",11,"∞C",1013,"mbar",30.3,"pmil",0,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38607,"SAAA0005000123","     p1.4.0.6 ","PSt3","191028-0",191028,194400,1,6.126,"V",1,"2019.10.28_RESPR_T1","12","CUR","A1",1,"Euphausia pacifica","2.61","0.0303",2019-10-28 14:49:12,"Trial01",0.956739605552295,9.09965464947414,0.956739605552295,9.09965464947414,8.706,11,30.3,244.29036,-0.374460002176945,"Trial01_KrilLR11"
